Company Name,Location,Email,Products
ABC Corp,New York,contact@abccorp.com,Software Solutions
XYZ Ltd,London,info@xyzltd.co.uk,Industrial Equipment
DEF Inc,Berlin,hello@definc.com,Consumer Electronics
GHI Tech,Tokyo,sales@ghitech.jp,AI Technology
JKL Group,Paris,contact@jklgroup.fr,Renewable Energy
MNO Ventures,San Francisco,info@mnoventures.com,FinTech Services
PQR Labs,Toronto,support@pqrlabs.ca,Biomedical Devices
STU Industries,Mumbai,sales@stuindustries.in,Automotive Parts
VWX Solutions,Sydney,info@vwxsolutions.com.au,Cloud Services
YZA Corp,Dubai,hello@yza-corp.ae,Logistics
